case_id,employee_id,employee_name,contract_type,base_salary,claimed_commute,telework_days,claimed_housing,custom_deduction,deduction_reason
EDGE-2026-001,EMP-EDGE-001,Auditor Edge 01,outsourcing,410000,15000,8,20000,0,
EDGE-2026-002,EMP-EDGE-002,Auditor Edge 02,outsourcing,420000,15000,8,20000,0,
EDGE-2026-003,EMP-EDGE-003,Auditor Edge 03,outsourcing,430000,15000,8,20000,0,
EDGE-2026-004,EMP-EDGE-004,Auditor Edge 04,outsourcing,440000,15000,8,20000,0,
EDGE-2026-005,EMP-EDGE-005,Auditor Edge 05,outsourcing,450000,15000,8,20000,0,
EDGE-2026-006,EMP-EDGE-006,Auditor Edge 06,outsourcing,460000,15000,8,20000,0,
EDGE-2026-007,EMP-EDGE-007,Auditor Edge 07,outsourcing,470000,15000,8,20000,0,
EDGE-2026-008,EMP-EDGE-008,Auditor Edge 08,outsourcing,480000,15000,8,20000,0,
EDGE-2026-009,EMP-EDGE-009,Auditor Edge 09,outsourcing,490000,15000,8,20000,0,
EDGE-2026-010,EMP-EDGE-010,Auditor Edge 10,outsourcing,500000,15000,8,20000,0,
EDGE-2026-011,EMP-EDGE-011,Auditor Edge 11,outsourcing,510000,15000,8,20000,0,
EDGE-2026-012,EMP-EDGE-012,Auditor Edge 12,outsourcing,520000,15000,8,20000,0,
EDGE-2026-013,EMP-EDGE-013,Auditor Edge 13,outsourcing,530000,15000,8,20000,0,
EDGE-2026-014,EMP-EDGE-014,Auditor Edge 14,outsourcing,540000,15000,8,20000,0,
EDGE-2026-015,EMP-EDGE-015,Auditor Edge 15,outsourcing,550000,15000,8,20000,0,
EDGE-2026-016,EMP-EDGE-016,Auditor Edge 16,regular,500000,198000,10,25000,0,
EDGE-2026-017,EMP-EDGE-017,Auditor Edge 17,regular,500000,201000,10,25000,0,
EDGE-2026-018,EMP-EDGE-018,Auditor Edge 18,regular,500000,204000,10,25000,0,
EDGE-2026-019,EMP-EDGE-019,Auditor Edge 19,regular,500000,207000,10,25000,0,
EDGE-2026-020,EMP-EDGE-020,Auditor Edge 20,regular,500000,210000,10,25000,0,
EDGE-2026-021,EMP-EDGE-021,Auditor Edge 21,regular,500000,213000,10,25000,0,
EDGE-2026-022,EMP-EDGE-022,Auditor Edge 22,regular,500000,216000,10,25000,0,
EDGE-2026-023,EMP-EDGE-023,Auditor Edge 23,regular,500000,219000,10,25000,0,
EDGE-2026-024,EMP-EDGE-024,Auditor Edge 24,regular,500000,222000,10,25000,0,
EDGE-2026-025,EMP-EDGE-025,Auditor Edge 25,regular,500000,225000,10,25000,0,
EDGE-2026-026,EMP-EDGE-026,Auditor Edge 26,regular,500000,228000,10,25000,0,
EDGE-2026-027,EMP-EDGE-027,Auditor Edge 27,regular,500000,231000,10,25000,0,
EDGE-2026-028,EMP-EDGE-028,Auditor Edge 28,regular,500000,234000,10,25000,0,
EDGE-2026-029,EMP-EDGE-029,Auditor Edge 29,regular,500000,237000,10,25000,0,
EDGE-2026-030,EMP-EDGE-030,Auditor Edge 30,regular,500000,240000,10,25000,0,
EDGE-2026-031,EMP-EDGE-031,Auditor Edge 31,regular,300000,18000,5,15000,111000,Special Advance Recovery
EDGE-2026-032,EMP-EDGE-032,Auditor Edge 32,regular,300000,18000,5,15000,112000,Special Advance Recovery
EDGE-2026-033,EMP-EDGE-033,Auditor Edge 33,regular,300000,18000,5,15000,113000,Special Advance Recovery
EDGE-2026-034,EMP-EDGE-034,Auditor Edge 34,regular,300000,18000,5,15000,114000,Special Advance Recovery
EDGE-2026-035,EMP-EDGE-035,Auditor Edge 35,regular,300000,18000,5,15000,115000,Special Advance Recovery
EDGE-2026-036,EMP-EDGE-036,Auditor Edge 36,regular,300000,18000,5,15000,116000,Special Advance Recovery
EDGE-2026-037,EMP-EDGE-037,Auditor Edge 37,regular,300000,18000,5,15000,117000,Special Advance Recovery
EDGE-2026-038,EMP-EDGE-038,Auditor Edge 38,regular,300000,18000,5,15000,118000,Special Advance Recovery
EDGE-2026-039,EMP-EDGE-039,Auditor Edge 39,regular,300000,18000,5,15000,119000,Special Advance Recovery
EDGE-2026-040,EMP-EDGE-040,Auditor Edge 40,regular,300000,18000,5,15000,120000,Special Advance Recovery
EDGE-2026-041,EMP-EDGE-041,Auditor Edge 41,contract,555000,150000,20,10000,70000,Boundary Check
EDGE-2026-042,EMP-EDGE-042,Auditor Edge 42,contract,560000,150000,20,10000,70000,Boundary Check
EDGE-2026-043,EMP-EDGE-043,Auditor Edge 43,contract,565000,150000,20,10000,70000,Boundary Check
EDGE-2026-044,EMP-EDGE-044,Auditor Edge 44,contract,570000,150000,20,10000,70000,Boundary Check
EDGE-2026-045,EMP-EDGE-045,Auditor Edge 45,contract,575000,150000,20,10000,70000,Boundary Check
EDGE-2026-046,EMP-EDGE-046,Auditor Edge 46,contract,580000,150000,20,10000,70000,Boundary Check
EDGE-2026-047,EMP-EDGE-047,Auditor Edge 47,contract,585000,150000,20,10000,70000,Boundary Check
EDGE-2026-048,EMP-EDGE-048,Auditor Edge 48,contract,590000,150000,20,10000,70000,Boundary Check
EDGE-2026-049,EMP-EDGE-049,Auditor Edge 49,contract,595000,150000,20,10000,70000,Boundary Check
EDGE-2026-050,EMP-EDGE-050,Auditor Edge 50,contract,600000,150000,20,10000,70000,Boundary Check
