case_id,employee_id,employee_name,contract_type,base_salary,claimed_commute,telework_days,claimed_housing,custom_deduction,deduction_reason
PI-PROD-2026-001,EMP-9401,Employee 01,regular,323500,9200,3,0,0,
PI-PROD-2026-002,EMP-9402,Employee 02,regular,327000,10400,6,25000,0,
PI-PROD-2026-003,EMP-9403,Employee 03,regular,495000,185000,4,20000,0,
PI-PROD-2026-004,EMP-9404,Employee 04,contract,300000,15000,5,15000,75000,Advance emergency salary repayment
PI-PROD-2026-005,EMP-9405,Employee 05,outsourcing,480000,19500,7,25000,0,
PI-PROD-2026-006,EMP-9406,Employee 06,regular,341000,15200,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-007,EMP-9407,Employee 07,regular,344500,16400,3,0,0,
PI-PROD-2026-008,EMP-9408,Employee 08,contract,348000,17600,6,25000,0,
PI-PROD-2026-009,EMP-9409,Employee 09,outsourcing,351500,18800,9,0,0,
PI-PROD-2026-010,EMP-9410,Employee 10,regular,355000,20000,12,25000,0,
PI-PROD-2026-011,EMP-9411,Employee 11,regular,358500,21200,15,0,0,
PI-PROD-2026-012,EMP-9412,Employee 12,regular,362000,22400,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-013,EMP-9413,Employee 13,contract,365500,23600,3,0,0,
PI-PROD-2026-014,EMP-9414,Employee 14,outsourcing,369000,24800,6,0,0,
PI-PROD-2026-015,EMP-9415,Employee 15,regular,372500,26000,9,15000,0,
PI-PROD-2026-016,EMP-9416,Employee 16,regular,376000,27200,12,25000,0,
PI-PROD-2026-017,EMP-9417,Employee 17,outsourcing,440000,15000,7,25000,0,
PI-PROD-2026-018,EMP-9418,Employee 18,contract,383000,29600,0,15000,0,
PI-PROD-2026-019,EMP-9419,Employee 19,outsourcing,386500,30800,3,0,0,
PI-PROD-2026-020,EMP-9420,Employee 20,regular,390000,32000,6,25000,0,
PI-PROD-2026-021,EMP-9421,Employee 21,regular,393500,33200,9,15000,0,
PI-PROD-2026-022,EMP-9422,Employee 22,regular,397000,34400,12,25000,0,
PI-PROD-2026-023,EMP-9423,Employee 23,contract,400500,35600,15,0,0,
PI-PROD-2026-024,EMP-9424,Employee 24,outsourcing,404000,36800,0,0,0,
PI-PROD-2026-025,EMP-9425,Employee 25,regular,407500,38000,3,0,0,
PI-PROD-2026-026,EMP-9426,Employee 26,regular,411000,39200,6,25000,0,
PI-PROD-2026-027,EMP-9427,Employee 27,regular,470000,185000,4,20000,0,
PI-PROD-2026-028,EMP-9428,Employee 28,contract,418000,9600,12,25000,0,
PI-PROD-2026-029,EMP-9429,Employee 29,outsourcing,421500,10800,15,0,0,
PI-PROD-2026-030,EMP-9430,Employee 30,regular,425000,12000,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-031,EMP-9431,Employee 31,regular,428500,13200,3,0,0,
PI-PROD-2026-032,EMP-9432,Employee 32,outsourcing,460000,15000,10,25000,0,
PI-PROD-2026-033,EMP-9433,Employee 33,contract,435500,15600,9,15000,0,
PI-PROD-2026-034,EMP-9434,Employee 34,outsourcing,439000,16800,12,0,0,
PI-PROD-2026-035,EMP-9435,Employee 35,regular,442500,18000,15,0,0,
PI-PROD-2026-036,EMP-9436,Employee 36,regular,446000,19200,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-037,EMP-9437,Employee 37,regular,449500,20400,3,0,0,
PI-PROD-2026-038,EMP-9438,Employee 38,contract,300000,15000,5,15000,75000,Advance emergency salary repayment
PI-PROD-2026-039,EMP-9439,Employee 39,outsourcing,456500,22800,9,0,0,
PI-PROD-2026-040,EMP-9440,Employee 40,regular,460000,24000,12,25000,0,
PI-PROD-2026-041,EMP-9441,Employee 41,regular,463500,25200,15,0,0,
PI-PROD-2026-042,EMP-9442,Employee 42,regular,467000,26400,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-043,EMP-9443,Employee 43,contract,470500,27600,3,0,0,
PI-PROD-2026-044,EMP-9444,Employee 44,outsourcing,474000,28800,6,0,0,
PI-PROD-2026-045,EMP-9445,Employee 45,regular,477500,30000,9,15000,0,
PI-PROD-2026-046,EMP-9446,Employee 46,regular,481000,31200,12,25000,0,
PI-PROD-2026-047,EMP-9447,Employee 47,regular,484500,32400,15,0,0,
PI-PROD-2026-048,EMP-9448,Employee 48,contract,488000,33600,0,15000,0,
PI-PROD-2026-049,EMP-9449,Employee 49,outsourcing,491500,34800,3,0,0,
PI-PROD-2026-050,EMP-9450,Employee 50,regular,495000,36000,6,25000,0,
PI-PROD-2026-051,EMP-9451,Employee 51,regular,445000,185000,4,20000,0,
PI-PROD-2026-052,EMP-9452,Employee 52,regular,502000,38400,12,25000,0,
PI-PROD-2026-053,EMP-9453,Employee 53,contract,505500,39600,15,0,0,
PI-PROD-2026-054,EMP-9454,Employee 54,outsourcing,509000,8800,0,0,0,
PI-PROD-2026-055,EMP-9455,Employee 55,regular,512500,10000,3,0,0,
